Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
2s+12,0.8,0.05,0.05,0.05,0.05,8.3,4.482200514,5.220150107,-6.24,1946.2,1.628117971,29.7,66.12905,5.803,9179.5,0.7465,1.217,1.7555,4.7455,745.005,18.18,62.15,3.835,4.15,1.1825,1.2831,1951.95,31.27,187.23,245
2s+8,0.15,0.05,0.05,0.35,0.4,6.35,4.295635452,7.903766603,-3,2953.05,7.780072656,50.65,120.9521,7.7175,13194.5,0.877,1.439,1.846,7.053,727.015,28.235,56.6,3.8575,5.15,1.2705,1.3821,2958.8,14.31,256.465,249.4
2s+5,0.1,0.05,0.05,0.2,0.6,6.2,3.843509703,6.9532236,-2.11,3167.75,10.43889766,57.8,140.38445,8.3615,15064.5,0.8905,1.463,1.827,7.5905,740.36,30.22,56,4.015,5.4,1.279,1.3911,3173.5,15.74,270.41,325.4
2s+1,0.05,0.05,0.15,0.35,0.4,5.85,3.382429304,7.903766603,-3.72,2969.55,6.309309171,50.15,119.8455,7.6415,12758.5,0.897,1.506,1.86,7.099,716.975,28.485,55.3,3.7825,5.15,1.2865,1.4031,2981.8,11.2,249.155,396
2s+11,0.65,0.2,0.05,0.05,0.05,7.85,4.435757604,7.49481913,-6.84,2000.5,2.192015449,29.25,65.0885,5.7355,8923,0.766,1.2455,1.7975,4.702,729.165,18.885,61.1,3.7525,4.15,1.1855,1.2993,2013.75,26.155,184.005,426.6
1s+32,0.05,0.05,0.75,0.1,0.05,4.65,3.911567817,5.529819281,-7.49,2117.8,1.563558247,26.95,60.2332,5.341,6193.5,0.896,1.702,1.8645,5.189,671.05,20.515,52.65,3.2875,4.2,1.301,1.4375,2169.05,7.77,140.045,431.6
1s+22,0.05,0.1,0.75,0.05,0.05,4.65,4.584463459,6.198862621,-7.92,2079.8,1.627827586,26.05,58.036,5.2485,6042,0.893,1.6955,1.8675,5.053,669.445,20.165,52.7,3.2825,4.15,1.2955,1.4355,2133.55,7.795,134.985,443
1s+18,0.25,0.05,0.1,0.3,0.3,6.55,5.12401318,9.044056951,-6.08,2713.7,4.036654169,44.95,106.05675,7.1825,11876.5,0.8565,1.4205,1.835,6.5035,724.51,25.905,57.25,3.7975,4.9,1.258,1.3696,2722.7,16.365,235.875,446.6
1s+23,0.1,0.05,0.6,0.1,0.15,5.1,4.592465723,8.073796027,-10.99,2284.55,1.678343104,32.4,74.3848,5.882,7881.5,0.887,1.6375,1.8505,5.571,687.27,22.01,53.7,3.445,4.4,1.291,1.4216,2326.05,10.555,163.96,448.4
2s+7,0.05,0.15,0.15,0.3,0.35,5.85,4.38440893,9.031999972,-3.73,2853.9,6.91056963,46.75,111.0556,7.313,12004.5,0.89,1.491,1.8735,6.723,709.51,27.435,55.45,3.7275,5,1.275,1.3987,2871.15,10.46,236.545,456.2
2s+18,0.65,0.15,0.05,0.1,0.05,7.85,4.799868056,7.184544102,-6.95,2038.5,2.107293979,30.15,67.2857,5.828,9074.5,0.769,1.252,1.7945,4.838,730.77,19.235,61.05,3.7575,4.2,1.191,1.3013,2049.25,26.13,189.065,474.2
1s+27,0.05,0.1,0.25,0.3,0.3,5.65,4.119452171,9.044056951,-5.42,2756.55,4.599703909,44.05,104.05,7.046,11137,0.893,1.5305,1.87,6.558,704.17,26.515,54.95,3.6575,4.9,1.283,1.4065,2777.8,9.995,223.835,478.5
1s+28,0.05,0.15,0.05,0.35,0.4,6.05,4.150093062,7.903766603,-1.56,2989.25,15.1450861,50.35,120.2584,7.6725,13023.5,0.89,1.458,1.874,7.024,716.455,28.705,55.9,3.8025,5.15,1.2725,1.3929,3000,10.9,254.315,509.8
1s+31,0.05,0.05,0.05,0.5,0.35,6.05,3.153862575,6.790855118,-1.71,3025.6,12.01544517,50.55,120.2573,7.714,12875.5,0.895,1.469,1.8755,7.192,715.41,29.055,55.85,3.7675,5.2,1.283,1.3965,3031.35,10.06,261.945,523.8
1s+15,0.1,0.1,0.6,0.1,0.1,5.1,5.108382073,8.291310281,-11.16,2206.9,1.639614037,29.9,67.7921,5.646,7279,0.883,1.629,1.861,5.331,681.41,21.31,53.8,3.395,4.3,1.285,1.4192,2250.9,9.79,156.41,538.8
1s+21,0.7,0.05,0.05,0.1,0.1,8,5.163555454,6.480797897,-6.41,2098.05,2.121222781,32.8,74.22525,6.0865,9762.5,0.7665,1.251,1.77,5.0925,741.91,19.7,61.3,3.835,4.3,1.196,1.2983,2103.8,28.6,197.69,546.8
