Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
1,0.05,0.05,0.05,0.05,0.8,6.05,3.224368112,6.465476013,-1.44,3382.45,15.18690926,64.95,159.8168,9.0055,16934.5,0.904,1.487,1.808,8.128,753.705,32.205,55.4,4.1725,5.65,1.2875,1.4001,3388.2,17.17,284.355,
2,0.05,0.05,0.05,0.1,0.75,6.05,3.226118644,7.444188527,-1.47,3342.8,16.92818599,63.35,155.4213,8.862,16483.5,0.903,1.485,1.8155,8.024,749.45,31.855,55.45,4.1275,5.6,1.287,1.3997,3348.55,16.38,281.865,
3,0.05,0.05,0.05,0.15,0.7,6.05,3.228267719,8.17765289,-1.5,3303.15,18.00800943,61.75,151.0258,8.7185,16032.5,0.902,1.483,1.823,7.92,745.195,31.505,55.5,4.0825,5.55,1.2865,1.3993,3308.9,15.59,279.375,
4,0.05,0.05,0.05,0.2,0.65,6.05,3.230815398,8.740145036,-1.53,3263.5,18.64278649,60.15,146.6303,8.575,15581.5,0.901,1.481,1.8305,7.816,740.94,31.155,55.55,4.0375,5.5,1.286,1.3989,3269.25,14.8,276.885,
5,0.05,0.05,0.05,0.25,0.6,6.05,3.233761597,9.16559309,-1.56,3223.85,18.94134441,58.55,142.2348,8.4315,15130.5,0.9,1.479,1.838,7.712,736.685,30.805,55.6,3.9925,5.45,1.2855,1.3985,3229.6,14.01,274.395,
6,0.05,0.05,0.05,0.3,0.55,6.05,3.237106086,9.47265594,-1.59,3184.2,18.97033399,56.95,137.8393,8.288,14679.5,0.899,1.477,1.8455,7.608,732.43,30.455,55.65,3.9475,5.4,1.285,1.3981,3189.95,13.22,271.905,
7,0.05,0.05,0.05,0.35,0.5,6.05,3.240848493,9.672267948,-1.62,3144.55,18.77464826,55.35,133.4438,8.1445,14228.5,0.898,1.475,1.853,7.504,728.175,30.105,55.7,3.9025,5.35,1.2845,1.3977,3150.3,12.43,269.415,
8,0.05,0.05,0.05,0.4,0.45,6.05,3.244988301,9.77065102,-1.65,3104.9,18.38599658,53.75,129.0483,8.001,13777.5,0.897,1.473,1.8605,7.4,723.92,29.755,55.75,3.8575,5.3,1.284,1.3973,3110.65,11.64,266.925,
9,0.05,0.05,0.05,0.45,0.4,6.05,3.249524852,9.77065102,-1.68,3065.25,17.82707621,52.15,124.6528,7.8575,13326.5,0.896,1.471,1.868,7.296,719.665,29.405,55.8,3.8125,5.25,1.2835,1.3969,3071,10.85,264.435,
10,0.05,0.05,0.05,0.5,0.35,6.05,3.25445735,9.672267948,-1.71,3025.6,17.11369234,50.55,120.2573,7.714,12875.5,0.895,1.469,1.8755,7.192,715.41,29.055,55.85,3.7675,5.2,1.283,1.3965,3031.35,10.06,261.945,
